time_stamp,dew_point_temperature,wind_direction_meters_per_second,radiation,min_temperature_previous_hour,atmospheric_pressure_at_station_height,pressure_min_previous_hour,max_dew_temperature_previous_hour,wind_gust_meters_per_second,air_temperature,wind_speed,max_temperature_previous_hour,humidity_min_previous_hour,pressure_max_previous_hour,humidity_max_previous_hour,air_relative_humidity_percentage,min_dew_temperature_previous_hour,total_precipitation,co2,cumulative_co2,methane,nitrous oxide
2000-01,,,,,,,,,,,,,,,,,,11533.84093,266.4969725,27.66003866,74.91455326
2000-02,,,,,,,,,,,,,,,,,,11556.60351,267.101878,27.64806701,74.89060137
2000-03,,,,,,,,,,,,,,,,,,11579.36608,267.7067835,27.63609536,74.86664948
2000-04,,,,,,,,,,,,,,,,,,11602.12866,268.311689,27.62412371,74.84269759
2000-05,11.63283019,156.3924528,1590.901887,21.68943396,888.1573585,887.94,12.46113208,5.038490566,22.79509434,2.366037736,23.37056604,48.84528302,888.4486792,56.48301887,51.41886792,10.87698113,0,11624.89123,268.9165945,27.61215206,74.8187457
2000-06,9.730674847,107.6380368,1563.233129,20.89171779,889.4371166,889.2202454,10.35797546,5.959202454,21.98865031,3.04202454,22.4898773,46.29141104,889.7165644,52.79754601,48.3190184,9.150920245,0,11647.6538,269.5215,27.60018041,74.79479381
2000-07,9.264784946,126.0483871,1491.048387,20.30188172,888.6658602,888.4370968,9.85,6.531182796,21.42204301,3.302956989,21.99032258,47.23924731,888.9532258,53.63172043,49.23387097,8.759408602,0,11670.41638,270.1264055,27.58820876,74.77084192
2000-08,8.344148936,120.1515957,1540.715426,22.71276596,888.7265957,888.4992021,8.944680851,6.362234043,23.77340426,3.153191489,24.28191489,39.18351064,889.0359043,44.2393617,40.65691489,7.831117021,0.104787234,11693.17895,270.731311,27.57623711,74.74689003
2000-09,12.61320755,104.5786164,1701.40566,22.48522013,887.7525157,887.5389937,13.35062893,7.178301887,23.41037736,3.717295597,23.87610063,51.97169811,888.072327,58.7672956,54.40566038,11.9418239,0.039622642,11715.94153,271.3362165,27.56426546,74.72293814
2000-10,12.20120773,132.5458937,1640.408213,24.37391304,887.0410628,886.7845411,13.17874396,6.014492754,25.29927536,2.896376812,25.89396135,45.10869565,887.3403382,52.29227053,47.90096618,11.39951691,0.397101449,11738.7041,271.941122,27.55229381,74.69898625
2000-11,17.0125,181.5980392,1203.926471,21.0504902,884.5068627,884.2497549,17.64632353,6.411029412,21.75857843,3.160539216,22.39068627,72.35784314,884.7921569,80.24019608,76.11519608,16.425,0.35,11761.46667,272.5460275,27.54032216,74.67503436
2000-12,17.06044444,206.84,1642.457778,23.05911111,885.556,885.3235556,17.87866667,6.44,23.88933333,2.996444444,24.67466667,62.96,885.8991111,72.13777778,67.32444444,16.24577778,0.248,11784.22925,273.150933,27.52835052,74.65108247
2001-01,15.74177632,118.0263158,1774.065789,23.42796053,886.7049342,886.5154605,16.63519737,6.466118421,24.28947368,3.189473684,24.97993421,56.57565789,887.025,65.45723684,60.51644737,14.86447368,0.088157895,11807.20466,273.3637702,27.54521048,74.6382732
2001-02,15.31364903,149.6183844,1748.62117,23.51949861,886.1612813,885.9250696,16.27827298,5.966573816,24.53537604,2.678272981,25.30389972,54.67409471,886.5066852,64.73259053,59.25348189,14.30083565,0.167688022,11830.18008,273.5766074,27.56207045,74.62546392
2001-03,16.8595,135.02,1343.6225,21.92375,886.802,886.56825,17.60375,5.71525,22.833,2.64975,23.528,66.6775,887.11925,75.7725,70.7575,16.11775,0.232,11853.1555,273.7894446,27.57893041,74.61265464
2001-04,14.85897436,113.1737892,1706.470085,22.93846154,887.8475783,887.6287749,15.69230769,6.267806268,23.8982906,3.099145299,24.47863248,55.67236467,888.1532764,63.77207977,58.86609687,14.03703704,0.133333333,11876.13091,274.0022818,27.59579038,74.59984536
